notarealmovie, fakegenre, fakedirector, fakeactor
40 Days and 40 Nights,Comedy,Michael Lehmann,Emmanuelle Vaugier
42nd Street,Comedy,Lloyd Bacon,Ginger Rogers
47 Ronin,Action,Carl Rinsch,Keanu Reeves
5 Days of War,Action,Renny Harlin,Richard Coyle
50 First Dates,Comedy,Peter Segal,Adam Sandler
50/50,Comedy,Jonathan Levine,Joseph Gordon-Levitt
500 Days of Summer,Comedy,Marc Webb,Joseph Gordon-Levitt
51 Birch Street,Documentary,Doug Block,Carol Block
55 Days at Peking,Action,Nicholas Ray,Ava Gardner
8 Days,Drama,Jaco Booyens,Nicole Smolen
8 Heads in a Duffel Bag,Comedy,Tom Schulman,Kristy Swanson
8 Mile,Drama,Curtis Hanson,Mekhi Phifer
8 Women,Comedy,François Ozon,Catherine Deneuve
8: The Mormon Proposition,Documentary,Reed Cowan,Dustin Lance Black
88 Minutes,Crime,Jon Avnet,Al Pacino
8MM,Mystery,Joel Schumacher,Nicolas Cage
90 Minutes in Heaven,Drama,Michael Polish,Hayden Christensen
9½ Weeks,Drama,Adrian Lyne,David Margulies
A Beautiful Mind,Biography,Ron Howard,Adam Goldberg
A Beginner's Guide to Snuff,Comedy,Mitchell Altieri,Kimberley Crossman
A Better Life,Drama,Chris Weitz,Demián Bichir
A Bridge Too Far,Drama,Richard Attenborough,Ryan O'Neal
A Bug's Life,Adventure,John Lasseter,Kevin Spacey
A Charlie Brown Christmas,Animation,Bill Melendez,Peter Robbins
A Christmas Carol,Animation,Robert Zemeckis,Robin Wright
A Christmas Story,Comedy,Bob Clark,Zack Ward
A Cinderella Story,Comedy,Mark Rosman,Dan Byrd
A Civil Action,Drama,Steven Zaillian,Robert Duvall
A Dangerous Method,Biography,David Cronenberg,Michael Fassbender
A Dog of Flanders,Drama,Kevin Brodie,Bruce McGill
A Dog's Breakfast,Comedy,David Hewlett,Christopher Judge
A Dog's Breakfast,Comedy,David Hewlett,Christopher Judge
A Farewell to Arms,Drama,Frank Borzage,Gary Cooper
A Few Good Men,Drama,Rob Reiner,Tom Cruise
A Fine Step,Drama,Jonathan Meyers,Justin Baldoni
A Fistful of Dollars,Action,Sergio Leone,Clint Eastwood
A Funny Thing Happened on the Way to the Forum,Comedy,Richard Lester,Buster Keaton
A Good Day to Die Hard,Action,John Moore,Bruce Willis
A Good Year,Comedy,Ridley Scott,Archie Panjabi
A Guy Named Joe,Drama,Victor Fleming,Spencer Tracy
A Guy Thing,Comedy,Chris Koch,Thomas Lennon
A Hard Day's Night,Comedy,Richard Lester,Paul McCartney
A Haunted House,Comedy,Michael Tiddes,Essence Atkins
A Haunted House 2,Comedy,Michael Tiddes,Ashley Rickards
A History of Violence,Crime,David Cronenberg,Viggo Mortensen
A Home at the End of the World,Drama,Michael Mayer,Robin Wright
A Knight's Tale,Action,Brian Helgeland,Heath Ledger
A League of Their Own,Comedy,Penny Marshall,Tom Hanks
A Lego Brickumentary,Documentary,Kief Davidson,G.W. Krauss
A Lonely Place to Die,Action,Julian Gilbey,Ed Speleers
A Lot Like Love,Comedy,Nigel Cole,Aimee Garcia
A Low Down Dirty Shame,Action,Keenen Ivory Wayans,Jada Pinkett Smith
A Madea Christmas,Comedy,Tyler Perry,Alicia Witt
A Man Apart,Action,F. Gary Gray,Vin Diesel
A Man for All Seasons,Biography,Fred Zinnemann,Robert Shaw
A Mighty Heart,Biography,Michael Winterbottom,Angelina Jolie Pitt
A Mighty Wind,Comedy,Christopher Guest,Michael McKean
A Million Ways to Die in the West,Comedy,Seth MacFarlane,Liam Neeson
A Monster in Paris,Adventure,Bibo Bergeron,Adam Goldberg
A Most Violent Year,Action,J.C. Chandor,David Oyelowo
A Most Wanted Man,Crime,Anton Corbijn,Philip Seymour Hoffman
A Night at the Roxbury,Comedy,John Fortenberry,Will Ferrell
A Nightmare on Elm Street,Horror,Wes Craven,Johnny Depp
A Nightmare on Elm Street,Horror,Wes Craven,Johnny Depp
A Nightmare on Elm Street 2: Freddy's Revenge,Fantasy,Jack Sholder,Clu Gulager
A Nightmare on Elm Street 3: Dream Warriors,Action,Chuck Russell,John Saxon
A Nightmare on Elm Street 4: The Dream Master,Fantasy,Renny Harlin,Tuesday Knight
A Nightmare on Elm Street 5: The Dream Child,Fantasy,Stephen Hopkins,Lisa Wilcox
A Passage to India,Adventure,David Lean,Richard Wilson
A Perfect Getaway,Adventure,David Twohy,Chris Hemsworth
A Perfect Plan,Comedy,Pascal Chaumeil,Dany Boon
A Plague So Pleasant,Drama,Benjamin Roberds,Eva Boehnke
A Prairie Home Companion,Comedy,Robert Altman,Meryl Streep
A Room for Romeo Brass,Comedy,Shane Meadows,Bob Hoskins
A Room with a View,Drama,James Ivory,Julian Sands
A Scanner Darkly,Animation,Richard Linklater,Robert Downey Jr.
A Separation,Drama,Asghar Farhadi,Shahab Hosseini
A Serious Man,Comedy,Ethan Coen,Michael Stuhlbarg
A Shine of Rainbows,Drama,Vic Sarin,Connie Nielsen
A Simple Plan,Crime,Sam Raimi,Gary Cole
A Simple Wish,Comedy,Michael Ritchie,Mara Wilson
A Single Man,Drama,Tom Ford,Colin Firth
A Sound of Thunder,Action,Peter Hyams,David Oyelowo
A Streetcar Named Desire,Drama,Elia Kazan,Marlon Brando
A Tale of Three Cities,Drama,Mabel Cheung,Wei Tang
A Thin Line Between Love and Hate,Comedy,Martin Lawrence,Faizon Love
A Thousand Words,Comedy,Brian Robbins,John Gatins
A Time to Kill,Crime,Joel Schumacher,Kevin Spacey
A True Story,Comedy,Malcolm Goodwin,Katrina Bowden
A Turtle's Tale: Sammy's Adventures,Adventure,Ben Stassen,Ed Begley Jr.
A Very Harold & Kumar 3D Christmas,Adventure,Todd Strauss-Schulson,Patton Oswalt
A Very Long Engagement,Drama,Jean-Pierre Jeunet,Denis Lavant
A View to a Kill,Action,John Glen,Patrick Macnee
A Walk Among the Tombstones,Crime,Scott Frank,Liam Neeson
A Walk on the Moon,Drama,Tony Goldwyn,Viggo Mortensen
A Walk to Remember,Drama,Adam Shankman,Lauren German
A Warrior's Tail,Adventure,Maksim Fadeev,Konstantin Khabenskiy
A Woman a Gun and a Noodle Shop,Comedy,Yimou Zhang,Honglei Sun
A Woman a Gun and a Noodle Shop,Comedy,Yimou Zhang,Honglei Sun
A.I. Artificial Intelligence,Adventure,Steven Spielberg,Haley Joel Osment
Abandon,Drama,Stephen Gaghan,Charlie Hunnam
Abandoned,Drama,John Laing,Siobhan Marshall
ABCD (Any Body Can Dance),Drama,Remo,Lauren Gottlieb
Abduction,Action,John Singleton,Ken Arnold
Aberdeen,Drama,Hans Petter Moland,Charlotte Rampling
About a Boy,Comedy,Chris Weitz,Sharon Small
About Last Night,Comedy,Steve Pink,Joe Lo Truglio
About Schmidt,Comedy,Alexander Payne,Hope Davis
About Time,Drama,Richard Curtis,Tom Hughes
Abraham Lincoln: Vampire Hunter,Action,Timur Bekmambetov,Rufus Sewell
Absentia,Drama,Mike Flanagan,Justin Gordon
Accidental Love,Comedy,David O. Russell,Jake Gyllenhaal
Ace Ventura: Pet Detective,Comedy,Tom Shadyac,Sean Young
Ace Ventura: When Nature Calls,Adventure,Steve Oedekerk,Bruce Spence
Across the Universe,Drama,Julie Taymor,Jim Sturgess
Across the Universe,Drama,Julie Taymor,Jim Sturgess
Act of Valor,Action,Mike McCoy,Alex Veadov
Action Jackson,Action,Craig R. Baxley,Bill Duke
Adam,Drama,Max Mayer,Peter Gallagher
Adam Resurrected,Drama,Paul Schrader,Veronica Ferres
Adaptation.,Comedy,Spike Jonze,Nicolas Cage
Addicted,Drama,Bille Woodruff,Boris Kodjoe
Admission,Comedy,Paul Weitz,Tina Fey
Adore,Drama,Anne Fontaine,Robin Wright
Adulterers,Crime,H.M. Coakley,Mehcad Brooks
Adventureland,Comedy,Greg Mottola,Kristen Stewart
Æon Flux,Action,Karyn Kusama,Charlize Theron
After,Fantasy,Ryan Smith,Sandra Ellis Lafferty
After Earth,Action,M. Night Shyamalan,Will Smith
After the Sunset,Action,Brett Ratner,Salma Hayek
After.Life,Drama,Agnieszka Wojtowicz-Vosloo,Liam Neeson
Against the Ropes,Biography,Charles S. Dutton,Omar Epps
Against the Wild,Adventure,Richard Boddington,Natasha Henstridge
Agent Cody Banks,Action,Harald Zwart,Daniel Roebuck
Agent Cody Banks 2: Destination London,Action,Kevin Allen,Daniel Roebuck
Agora,Adventure,Alejandro Amenábar,Max Minghella
Aimee & Jaguar,Biography,Max Färberböck,Heike Makatsch
Air Bud,Comedy,Charles Martin Smith,Kevin Zegers
Air Force One,Action,Wolfgang Petersen,Harrison Ford
Airborne,Adventure,Rob Bowman,Alanna Ubach
Airlift,Action,Raja Menon,Nimrat Kaur
Airplane!,Comedy,Jim Abrahams,Peter Graves
Ajami,Crime,Scandar Copti,Shahir Kabaha
Akeelah and the Bee,Drama,Doug Atchison,Curtis Armstrong
Akira,Action,Katsuhiro Ôtomo,Mitsuo Iwata
Aladdin,Adventure,Ron Clements,Robin Williams
Albert Nobbs,Drama,Rodrigo García,Mia Wasikowska
Albino Alligator,Crime,Kevin Spacey,Viggo Mortensen
Alex & Emma,Comedy,Rob Reiner,David Paymer
Alex Cross,Action,Rob Cohen,Cicely Tyson
Alex Rider: Operation Stormbreaker,Action,Geoffrey Sax,Alex Pettyfer
Alexander,Action,Oliver Stone,Anthony Hopkins
Alexander and the Terrible Horrible No Good Very Bad Day,Comedy,Miguel Arteta,Bella Thorne
Alexander's Ragtime Band,Drama,Henry King,Tyrone Power
Alfie,Comedy,Charles Shyer,Omar Epps
Ali,Biography,Michael Mann,Will Smith
Alias Betty,Comedy,Claude Miller,Sandrine Kiberlain
Alice in Wonderland,Adventure,Tim Burton,Johnny Depp
Alice in Wonderland,Adventure,Tim Burton,Johnny Depp
Alice Through the Looking Glass,Adventure,James Bobin,Johnny Depp
Alien,Horror,Ridley Scott,Tom Skerritt
Alien 3,Action,David Fincher,Charles S. Dutton
Alien Uprising,Comedy,Dominic Burns,Julian Glover
Alien Zone,Horror,Sharron Miller,Bernard Fox
Alien: Resurrection,Action,Jean-Pierre Jeunet,Gary Dourdan
Aliens,Action,James Cameron,Michael Biehn
Aliens in the Attic,Adventure,John Schultz,Malese Jow
Aliens vs. Predator: Requiem,Action,Colin Strause,Sam Trammell
Alive,Adventure,Frank Marshall,Illeana Douglas
All About Steve,Comedy,Phil Traill,Bradley Cooper
All About the Benjamins,Action,Kevin Bray,Mike Epps
All Good Things,Crime,Andrew Jarecki,Ryan Gosling
All Hat,Western,Leonard Farlinger,Keith Carradine
All Is Bright,Comedy,Phil Morrison,Sally Hawkins
All Is Lost,Action,J.C. Chandor,Robert Redford
All or Nothing,Drama,Mike Leigh,Lesley Manville
All Superheroes Must Die,SciFi,Jason Trost,Sean Whalen
All That Jazz,Comedy,Bob Fosse,Roy Scheider
All the Boys Love Mandy Lane,Horror,Jonathan Levine,Luke Grimes
All the King's Men,Drama,Steven Zaillian,Kate Winslet
All the Pretty Horses,Drama,Billy Bob Thornton,Matt Damon
All the Queen's Men,Action,Stefan Ruzowitzky,Eddie Izzard
All the Real Girls,Drama,David Gordon Green,Zooey Deschanel
Allegiant,Action,Robert Schwentke,Naomi Watts
Alleluia! The Devil's Carnival,Horror,Darren Lynn Bousman,Paul Sorvino
Almost Famous,Adventure,Cameron Crowe,Philip Seymour Hoffman
Aloft,Drama,Claudia Llosa,Ian Tracey
Aloha,Comedy,Cameron Crowe,Emma Stone
Aloha,Comedy,Cameron Crowe,Emma Stone
Alone in the Dark,Horror,Uwe Boll,Catherine Lough Haggquist
Alone with Her,Crime,Eric Nicholas,Jordana Spiro
Along Came a Spider,Crime,Lee Tamahori,Morgan Freeman
Along Came Polly,Comedy,John Hamburg,Philip Seymour Hoffman
Along the Roadside,Comedy,Zoran Lisinac,Matthew Emerick
Alpha and Omega,Adventure,Anthony Bell,Kevin Sussman
Alpha and Omega 4: The Legend of the Saw Toothed Cave,Action,Richard Rich,Debi Derryberry
Alvin and the Chipmunks,Animation,Tim Hill,Jesse McCartney
Alvin and the Chipmunks: Chipwrecked,Adventure,Mike Mitchell,Amy Poehler
Alvin and the Chipmunks: The Road Chip,Adventure,Walt Becker,Bella Thorne
Alvin and the Chipmunks: The Squeakquel,Animation,Betty Thomas,Amy Poehler
Always Woodstock,Comedy,Rita Merson,Ryan Guzman
Amadeus,Biography,Milos Forman,Jeffrey Jones
Amélie,Comedy,Jean-Pierre Jeunet,Mathieu Kassovitz
Amen.,Biography,Costa-Gavras,Sebastian Koch
America Is Still the Place,History,Patrick Gilles,Emma Caulfield
American Beauty,Drama,Sam Mendes,Kevin Spacey
American Desi,Comedy,Piyush Dinker Pandya,Purva Bedi
American Dreamz,Comedy,Paul Weitz,Judy Greer
American Gangster,Biography,Ridley Scott,Denzel Washington
American Graffiti,Comedy,George Lucas,Harrison Ford
American Heist,Action,Sarik Andreasyan,Hayden Christensen
American Hero,Action,Nick Love,Eddie Griffin
American History X,Crime,Tony Kaye,Ethan Suplee
American Hustle,Crime,David O. Russell,Jennifer Lawrence
American Ninja 2: The Confrontation,Action,Sam Firstenberg,Michael Dudikoff
American Outlaws,Action,Les Mayfield,Gregory Smith
American Pie,Comedy,Paul Weitz,Alyson Hannigan
American Pie 2,Comedy,J.B. Rogers,Alyson Hannigan
American Psycho,Crime,Mary Harron,Christian Bale
American Sniper,Action,Clint Eastwood,Bradley Cooper
American Splendor,Biography,Shari Springer Berman,Josh Hutcherson
American Wedding,Comedy,Jesse Dylan,Alyson Hannigan
America's Sweethearts,Comedy,Joe Roth,Julia Roberts
Amidst the Devil's Wings,Action,Daniel Columbie,Keri Maletto
Amigo,Drama,John Sayles,Brian Lee Franklin
Amistad,Drama,Steven Spielberg,Anthony Hopkins
Amnesiac,Drama,Michael Polish,Olivia Rose Keegan
Among Giants,Comedy,Sam Miller,Rachel Griffiths
Amores Perros,Drama,Alejandro G. Iñárritu,Adriana Barraza
Amour,Drama,Michael Haneke,Isabelle Huppert
An Alan Smithee Film: Burn Hollywood Burn,Comedy,Arthur Hiller,Eric Idle
An American Carol,Comedy,David Zucker,Chriss Anglin
An American Girl Holiday,Drama,Nadia Tass,Mia Farrow
An American Haunting,Horror,Courtney Solomon,Sissy Spacek
An American in Hollywood,Drama,Sai Varadan,J.D. Williams
An Education,Drama,Lone Scherfig,Dominic Cooper
An Everlasting Piece,Comedy,Barry Levinson,Anna Friel
An Ideal Husband,Comedy,Oliver Parker,Minnie Driver
An Inconvenient Truth,Documentary,Davis Guggenheim,Billy West
An Unfinished Life,Drama,Lasse Hallström,Morgan Freeman
Anaconda,Action,Luis Llosa,Frank Welker
Anacondas: The Hunt for the Blood Orchid,Action,Dwight H. Little,Nicholas Gonzalez
Analyze That,Comedy,Harold Ramis,Robert De Niro
Analyze This,Comedy,Harold Ramis,Robert De Niro
Anastasia,Adventure,Don Bluth,Kirsten Dunst
Anatomy,Horror,Stefan Ruzowitzky,Benno Fürmann
Anchorman 2: The Legend Continues,Comedy,Adam McKay,Harrison Ford
Anchorman: The Legend of Ron Burgundy,Comedy,Adam McKay,Darcy Donavan
And So It Goes,Comedy,Rob Reiner,Yaya DaCosta
And Then Came Love,Comedy,Richard Schenkman,Vanessa Williams
Anderson's Cross,Comedy,Jerome Elston Scott,Taran Killam
Angel Eyes,Drama,Luis Mandoki,Sonia Braga
Angela's Ashes,Drama,Alan Parker,Emily Watson
Angels & Demons,Mystery,Ron Howard,Tom Hanks
Animal House,Comedy,John Landis,John Belushi
Animal Kingdom: Let's go Ape,Adventure,Jamel Debbouze,Jamel Debbouze
Animals,Drama,Collin Schiffli,Kim Shaw
Animals United,Animation,Reinhard Klooss,Jim Broadbent
Anna and the King,Drama,Andy Tennant,Bai Ling
Anna Karenina,Drama,Joe Wright,Kelly Macdonald
Annabelle,Horror,John R. Leonetti,Alfre Woodard
Annie,Comedy,Will Gluck,Quvenzhané Wallis
Annie Get Your Gun,Biography,George Sidney,Keenan Wynn
Annie Hall,Comedy,Woody Allen,Woody Allen
Anomalisa,Animation,Duke Johnson,Jennifer Jason Leigh
Anonymous,Drama,Roland Emmerich,Vanessa Redgrave
Another Earth,Drama,Mike Cahill,Robin Lord Taylor
Another Happy Day,Comedy,Sam Levinson,George Kennedy
Another Year,Comedy,Mike Leigh,Jim Broadbent
Antarctic Edge: 70° South,Adventure,Dena Seidel,Naderev Sano
Antarctica: A Year on Ice,Adventure,Anthony Powell,Josh Swanson
Antibirth,Horror,Danny Perez,Natasha Lyonne
Antitrust,Action,Peter Howitt,Tyler Labine
Antiviral,Horror,Brandon Cronenberg,Sarah Gadon
Ant-Man,Action,Peyton Reed,Judy Greer
Antwone Fisher,Biography,Denzel Washington,Denzel Washington
Antz,Adventure,Eric Darnell,Sylvester Stallone
Any Given Sunday,Drama,Oliver Stone,Al Pacino
Anything Else,Comedy,Woody Allen,Woody Allen
Anywhere But Here,Comedy,Wayne Wang,Natalie Portman
Apocalypse Now,Drama,Francis Ford Coppola,Harrison Ford
Apocalypto,Action,Mel Gibson,Rudy Youngblood
Apollo 13,Adventure,Ron Howard,Tom Hanks
Apollo 18,Horror,Gonzalo López-Gallego,Warren Christie
Appaloosa,Crime,Ed Harris,Viggo Mortensen
April Fool's Day,Horror,Fred Walton,Thomas F. Wilson
Aqua Teen Hunger Force Colon Movie Film for Theaters,Action,Matt Maiellaro,Tina Fey
Aquamarine,Comedy,Elizabeth Allen Rosenbaum,Tammin Sursok
Arachnophobia,Comedy,Frank Marshall,Julian Sands
Ararat,Drama,Atom Egoyan,David Alpay
Arbitrage,Drama,Nicholas Jarecki,Nate Parker
Archaeology of a Woman,Drama,Sharon Greytak,Sally Kirkland
Are We There Yet?,Adventure,Brian Levant,Nia Long
Area 51,Horror,Oren Peli,Glenn Campbell
Argo,Biography,Ben Affleck,Clea DuVall
Arlington Road,Crime,Mark Pellington,Jeff Bridges
Armageddon,Action,Michael Bay,Bruce Willis
Armored,Action,Nimród Antal,Andrew Fiscella
Army of Darkness,Comedy,Sam Raimi,Patricia Tallman
Arn: The Knight Templar,Action,Peter Flinth,Gustaf Skarsgård
Arnolds Park,Mystery,Gene Teigland,Kendyl Joi
Around the World in 80 Days,Action,Frank Coraci,Jim Broadbent
Around the World in 80 Days,Action,Frank Coraci,Jim Broadbent
Aroused,Documentary,Deborah Anderson,Lisa Ann
Arthur and the Invisibles,Adventure,Luc Besson,Mia Farrow
Arthur Christmas,Adventure,Sarah Smith,Jim Broadbent
As Above So Below,Horror,John Erick Dowdle,Ben Feldman
As Good as It Gets,Comedy,James L. Brooks,Lupe Ontiveros
As It Is in Heaven,Comedy,Kay Pollak,Michael Nyqvist
Ask Me Anything,Drama,Allison Burnett,Kimberly Williams-Paisley
Assault on Precinct 13,Action,Jean-François Richet,Brian Dennehy
Asterix at the Olympic Games,Adventure,Frédéric Forestier,Alain Delon
Astro Boy,Action,David Bowers,Nicolas Cage
At First Sight,Drama,Irwin Winkler,Mira Sorvino
ATL,Comedy,Chris Robinson,T.I.
Atlantis: The Lost Empire,Action,Gary Trousdale,Leonard Nimoy
Atlas Shrugged II: The Strike,Drama,John Putch,Robert Picardo
Atlas Shrugged: Who Is John Galt?,Drama,James Manera,Joaquim de Almeida
Atonement,Drama,Joe Wright,Benedict Cumberbatch
Attack the Block,Action,Joe Cornish,John Boyega
August,Drama,Eldar Rapaport,Murray Bartlett
August Rush,Drama,Kirsten Sheridan,Robin Williams
August: Osage County,Drama,John Wells,Benedict Cumberbatch
Austin Powers in Goldmember,Action,Jay Roach,Verne Troyer
Austin Powers: International Man of Mystery,Comedy,Jay Roach,Will Ferrell
Austin Powers: The Spy Who Shagged Me,Action,Jay Roach,Muse Watson
Australia,Adventure,Baz Luhrmann,Essie Davis
Auto Focus,Biography,Paul Schrader,Ed Begley Jr.
Automata,Action,Gabe Ibáñez,Birgitte Hjort Sørensen
Autumn in New York,Drama,Joan Chen,J.K. Simmons
Avatar,Action,James Cameron,CCH Pounder
Avengers: Age of Ultron,Action,Joss Whedon,Chris Hemsworth
AVP: Alien vs. Predator,Action,Paul W.S. Anderson,Sanaa Lathan
Awake,Crime,Joby Harold,Hayden Christensen
Away We Go,Comedy,Sam Mendes,Catherine O'Hara
AWOL-72,Thriller,Christian Sesma,Bokeem Woodbine
Baahubali: The Beginning,Action,S.S. Rajamouli,Tamannaah Bhatia
Babe,Comedy,Chris Noonan,Miriam Margolyes
Babe: Pig in the City,Adventure,George Miller,Adam Goldberg
Babel,Drama,Alejandro G. Iñárritu,Brad Pitt
Baby Boy,Crime,John Singleton,Mo'Nique
Baby Geniuses,Comedy,Bob Clark,Kathleen Turner
Baby Mama,Comedy,Michael McCullers,Tina Fey
Babylon A.D.,Action,Mathieu Kassovitz,Vin Diesel
Baby's Day Out,Adventure,Patrick Read Johnson,Joe Mantegna
Bachelorette,Comedy,Leslye Headland,Kirsten Dunst
Back to the Future,Adventure,Robert Zemeckis,Lea Thompson
Back to the Future Part II,Adventure,Robert Zemeckis,Lea Thompson
Back to the Future Part III,Adventure,Robert Zemeckis,Lea Thompson
Bad Boys,Action,Michael Bay,Will Smith
Bad Boys II,Action,Michael Bay,Will Smith
Bad Company,Action,Joel Schumacher,Anthony Hopkins
Bad Grandpa,Comedy,Jeff Tremaine,Jackson Nicoll
Bad Lieutenant: Port of Call New Orleans,Crime,Werner Herzog,Nicolas Cage
Bad Moms,Comedy,Jon Lucas,Mila Kunis
Bad Moms,Comedy,Jon Lucas,Mila Kunis
Bad Santa,Comedy,Terry Zwigoff,Bernie Mac
Bad Teacher,Comedy,Jake Kasdan,Justin Timberlake
Bad Words,Comedy,Jason Bateman,Beth Grant
Baggage Claim,Comedy,David E. Talbert,Djimon Hounsou
Baghead,Comedy,Jay Duplass,Greta Gerwig
Bait,Action,Kimble Rendall,Alex Russell
Ballistic: Ecks vs. Sever,Action,Wych Kaosayananda,Talisa Soto
Bambi,Animation,James Algar,Sam Edwards
Bamboozled,Comedy,Spike Lee,Gillian White
Bananas,Comedy,Woody Allen,Woody Allen
Bandidas,Action,Joachim Rønning,Salma Hayek
Bandits,Comedy,Barry Levinson,Bruce Willis
Bandslam,Comedy,Todd Graff,Scott Porter
Bang,Crime,Ash Baron-Cohen,Peter Greene
Bang Bang Baby,Drama,Jeffrey St. Jules,Boyd Banks
Bangkok Dangerous,Action,Danny Pang,Nicolas Cage
Banshee Chapter,Horror,Blair Erickson,Monique Candelaria
Barbarella,Adventure,Roger Vadim,Jane Fonda
Barbecue,Comedy,Eric Lavaine,Lambert Wilson
Barbershop,Comedy,Tim Story,Sean Patrick Thomas
Barbershop 2: Back in Business,Comedy,Kevin Rodney Sullivan,Harry Lennix
Barfi,Comedy,Shekar,Bhama
Barney's Great Adventure,Adventure,Steve Gomer,Trevor Morgan
Barney's Version,Comedy,Richard J. Lewis,Mark Addy
Barnyard,Animation,Steve Oedekerk,Rob Paulsen
Barry Lyndon,Adventure,Stanley Kubrick,Ryan O'Neal
Barry Munday,Comedy,Chris D'Arienzo,Judy Greer
Basic,Action,John McTiernan,Connie Nielsen
Basic Instinct 2,Crime,Michael Caton-Jones,Charlotte Rampling
Basquiat,Biography,Julian Schnabel,Gary Oldman
Bathing Beauty,Comedy,George Sidney,Esther Williams
Bathory: Countess of Blood,Biography,Juraj Jakubisko,Anna Friel
Batman,Action,Tim Burton,Michael Gough
Batman & Robin,Action,Joel Schumacher,Michael Gough
Batman Begins,Action,Christopher Nolan,Christian Bale
Batman Forever,Action,Joel Schumacher,Michael Gough
Batman Returns,Action,Tim Burton,Michael Gough
Batman v Superman: Dawn of Justice,Action,Zack Snyder,Henry Cavill
Batman: The Dark Knight Returns Part 2,Action,Jay Oliva,Michael Emerson
Batman: The Movie,Adventure,Leslie H. Martinson,Burgess Meredith
Bats,Horror,Louis Morneau,Leon
Battle for the Planet of the Apes,Action,J. Lee Thompson,Roddy McDowall
Battle Los Angeles,Action,Jonathan Liebesman,Noel Fisher
Battle of the Year,Drama,Benson Lee,Chris Brown
